[2022-02-23T12:51:41.022727+06:00] 6af9ab0e-f504-4b63-a5ed-6cc9ad8b7010.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T12:58:38.167617+06:00] 47076c80-25b4-43f1-95e1-4fb1921a653e.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T16:42:48.265947+06:00] 9d3a5249-7162-430e-8d70-6a5416203ce5.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T16:43:24.262105+06:00] 2dfe34da-add3-42e6-bc2f-1fa0583eed11.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T16:44:58.760759+06:00] 8b051525-b240-46cf-a061-9de66211d674.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T16:46:18.867051+06:00] 577030e9-be76-4e8c-98ce-6721798c0719.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T16:46:30.805079+06:00] 1ee17f15-4edc-435f-aa81-c96208a04747.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T16:48:55.876940+06:00] b4602cf8-6d8f-4233-a0f8-333da09c8ac4.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T17:13:30.539990+06:00] 37afc497-7cb8-442d-b557-5b52a0d06dda.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T17:23:56.574560+06:00] d1e4e6a0-d7eb-4565-adf7-639681193787.ERROR: Error: [401] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T19:46:29.931414+06:00] 3115bcb3-ed77-4be4-ab98-8b6bf846d61e.ERROR: Error: [401] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T21:58:45.602068+06:00] 445dc214-94bd-4347-9f19-62d39fbbe3b1.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T22:02:53.454938+06:00] 139f3099-201e-4a5a-b643-b70bd2a16ee8.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T22:03:13.822144+06:00] e7e53511-df4c-4df1-a1e6-d7941be47fb1.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T22:03:49.866895+06:00] 9d9b3d70-478d-4193-875f-9df5d55d689b.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T22:05:29.599402+06:00] 0a5dc0ce-52b3-4b00-a507-4404d446b488.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T22:05:58.122926+06:00] 272496b1-0f53-4167-9096-3e6eec78ab57.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T22:06:56.986320+06:00] 162c01d5-5e1a-4635-b79c-4c29e887e483.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T22:07:54.610194+06:00] 0d66957e-4636-48fb-98bd-3d69b74101be.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T22:10:48.128876+06:00] 54327451-7d18-426e-b09e-c9d4213f6e76.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T22:11:30.686133+06:00] 42566ea1-5fdd-405f-a772-fdd469dc64ae.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T22:11:46.577235+06:00] 2e19a4ae-05c7-4990-8475-db65a7693e62.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T22:12:54.002466+06:00] 723a09ed-72f0-4b42-8717-90283aff5ab4.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
[2022-02-23T22:18:29.039432+06:00] ee4f391e-8816-4b5f-b9cf-f71ab9fd77f0.ERROR: Error: [0] Array, Method: POST, Path: /job/api/v1/ru/center/company/add  
